transaction_id,customer_id,amount,date,type,country,status
TRN00001,C070,5985.18,2025-11-05,cash_out,RU,approved
TRN00002,C063,2198.02,2025-01-15,deposit,US,pending
TRN00003,C060,5798.97,2025-03-07,international_wire,IR,approved
TRN00004,C076,7257.29,2025-10-16,transfer,CO,pending
TRN00005,C060,1102.88,2025-04-04,transfer,CL,pending
TRN00006,C059,2632.27,2025-06-17,payment,NG,approved
TRN00007,C054,6021.04,2025-05-10,transfer,RU,approved
TRN00008,C007,5997.21,2025-06-29,cash_out,CO,approved
TRN00009,C032,6038.78,2025-04-13,transfer,AR,approved
TRN00010,C015,1027.24,2025-10-16,cash_out,RU,approved
TRN00011,C022,6139.85,2025-11-07,international_wire,CO,approved
TRN00012,C014,7718.47,2025-10-24,transfer,CL,rejected
TRN00013,C049,5425.23,2025-07-23,cash_out,CO,rejected
TRN00014,C032,5531.1,2025-02-22,payment,CO,rejected
TRN00015,C045,6265.43,2025-09-30,deposit,US,approved
TRN00016,C044,4057.57,2025-01-07,deposit,RU,approved
TRN00017,C047,3479.52,2025-11-22,deposit,AR,pending
TRN00018,C067,1425.57,2025-11-30,payment,IR,pending
TRN00019,C076,3729.69,2025-05-18,payment,PE,approved
TRN00020,C058,2245.85,2025-05-05,deposit,NG,approved
TRN00021,C042,249.03,2025-04-04,deposit,PE,approved
TRN00022,C044,6386.7,2025-05-24,international_wire,CL,rejected
TRN00023,C025,101.01,2025-02-13,cash_out,NG,pending
TRN00024,C031,4450.31,2025-12-20,deposit,RU,pending
TRN00025,C012,6347.6,2025-05-31,cash_out,NG,approved
TRN00026,C075,2463.52,2025-07-08,deposit,IR,rejected
TRN00027,C071,2763.18,2025-06-19,payment,RU,approved
TRN00028,C030,2466.85,2025-03-03,cash_out,US,approved
TRN00029,C024,5948.19,2025-04-09,cash_out,RU,approved
TRN00030,C068,5802.19,2025-11-02,payment,CO,approved
TRN00031,C047,2384.05,2025-04-02,payment,MX,rejected
TRN00032,C006,1030.13,2025-01-28,international_wire,CL,approved
TRN00033,C063,5110.2,2025-02-22,transfer,CL,pending
TRN00034,C044,3840.14,2025-04-05,transfer,CL,pending
TRN00035,C009,930.42,2025-07-25,deposit,CO,rejected
TRN00036,C007,5042.98,2025-03-19,cash_out,CL,approved
TRN00037,C016,7951.47,2025-10-13,deposit,PE,rejected
TRN00038,C057,3055.42,2025-06-02,international_wire,NG,approved
TRN00039,C008,4557.66,2025-11-09,transfer,PE,approved
TRN00040,C011,2131.88,2025-03-22,cash_out,AR,rejected
TRN00041,C001,619.02,2025-07-29,deposit,RU,approved
TRN00042,C037,280.47,2025-12-28,payment,RU,approved
TRN00043,C034,5505.33,2025-11-17,international_wire,PE,pending
TRN00044,C029,935.91,2025-11-28,cash_out,CL,approved
TRN00045,C022,589.85,2025-06-07,international_wire,CL,pending
TRN00046,C039,1012.34,2025-12-25,deposit,CL,rejected
TRN00047,C077,11831.12,2025-01-21,deposit,US,rejected
TRN00048,C012,2017.94,2025-04-28,international_wire,MX,approved
TRN00049,C023,4618.45,2025-08-29,international_wire,RU,approved
TRN00050,C075,1468.28,2025-08-12,deposit,CO,pending
TRN00051,C043,2796.73,2025-06-14,transfer,AR,approved
TRN00052,C064,3304.93,2025-05-28,deposit,IR,approved
TRN00053,C041,3649.51,2025-05-10,payment,CO,pending
TRN00054,C001,6921.99,2025-12-03,international_wire,RU,pending
TRN00055,C067,452.55,2025-07-05,international_wire,RU,pending
TRN00056,C027,6084.72,2025-05-17,international_wire,AR,approved
TRN00057,C063,3516.17,2025-03-04,transfer,PE,approved
TRN00058,C002,2499.79,2025-10-10,deposit,CO,approved
TRN00059,C015,7938.21,2025-08-25,transfer,AR,pending
TRN00060,C038,7462.57,2025-09-18,payment,NG,pending
TRN00061,C032,7842.35,2025-08-22,international_wire,AR,pending
TRN00062,C077,1541.07,2025-09-18,cash_out,CO,approved
TRN00063,C054,6185.95,2025-06-24,international_wire,CL,approved
TRN00064,C039,2277.06,2025-10-28,international_wire,RU,approved
TRN00065,C062,3583.45,2025-06-26,payment,IR,rejected
TRN00066,C042,3030.14,2025-04-07,cash_out,NG,approved
TRN00067,C053,6850.98,2025-01-23,payment,RU,pending
TRN00068,C020,3100.91,2025-09-11,transfer,AR,rejected
TRN00069,C043,7723.52,2025-02-21,deposit,CO,rejected
TRN00070,C002,7285.32,2025-03-15,deposit,AR,approved
TRN00071,C034,3766.53,2025-06-23,international_wire,NG,approved
TRN00072,C069,6817.09,2025-07-14,payment,RU,rejected
TRN00073,C009,306.47,2025-05-01,payment,PE,approved
TRN00074,C013,3483.09,2025-11-21,transfer,RU,approved
TRN00075,C004,5558.13,2025-01-24,payment,MX,approved
TRN00076,C056,2880.54,2025-03-16,cash_out,IR,pending
TRN00077,C024,4536.11,2025-03-29,cash_out,CO,rejected
TRN00078,C080,6969.3,2025-12-16,cash_out,RU,rejected
TRN00079,C060,1162.08,2025-11-23,payment,RU,approved
TRN00080,C060,5341.39,2025-05-28,international_wire,AR,approved
TRN00081,C045,3545.0,2025-10-28,payment,NG,approved
TRN00082,C039,3665.55,2025-04-12,deposit,RU,approved
TRN00083,C074,1912.9,2025-07-03,international_wire,CL,approved
TRN00084,C051,195.08,2025-05-21,transfer,MX,rejected
TRN00085,C037,5966.47,2025-04-28,international_wire,US,approved
TRN00086,C080,5100.21,2025-05-09,cash_out,CO,approved
TRN00087,C057,2485.28,2025-01-18,international_wire,US,approved
TRN00088,C038,739.26,2025-06-17,deposit,AR,approved
TRN00089,C070,1074.64,2025-07-07,international_wire,IR,approved
TRN00090,C033,6647.17,2025-09-04,payment,US,approved
TRN00091,C010,3757.28,2025-03-14,cash_out,NG,rejected
TRN00092,C051,2938.88,2025-01-08,payment,IR,approved
TRN00093,C034,3649.19,2025-10-27,deposit,US,approved
TRN00094,C080,13177.01,2025-10-15,payment,PE,approved
TRN00095,C060,5090.52,2025-12-25,payment,NG,approved
TRN00096,C005,1135.42,2025-06-05,deposit,CO,approved
TRN00097,C069,1893.7,2025-03-11,deposit,RU,approved
TRN00098,C070,5370.48,2025-08-03,international_wire,AR,pending
TRN00099,C063,5246.28,2025-11-12,deposit,CL,approved
TRN00100,C028,5528.44,2025-08-16,deposit,PE,approved
TRN00101,C048,812.85,2025-10-06,payment,MX,pending
TRN00102,C016,2221.53,2025-08-21,transfer,PE,rejected
TRN00103,C007,7769.32,2025-06-20,cash_out,AR,rejected
TRN00104,C071,1657.54,2025-04-17,international_wire,PE,approved
TRN00105,C019,2641.91,2025-11-02,transfer,CL,approved
TRN00106,C070,7900.47,2025-05-09,cash_out,CO,approved
